state,x,y
Abia,-65,-148
Adamawa,227,34
Akwa Ibom,-39,-164
Anambra,-87,-108
Bauchi,87,60
Bayelsa,-145,-181
Benue,27,-56
Borno,242,121
Cross River,-5,-142
Delta,-151,-145
Ebonyi,-26,-103
Edo,-150,-96
Ekiti,-190,-46
Enugu,-58,-99
Gombe,143,62
Imo,-80,-140
Jigawa,47,132
Kaduna,-57,67
Kano,5,122
Katsina,-57,155
Kebbi,-256,128
Kogi,-102,-52
Kwara,-267,28
Lagos,-273,-96
Nassarawa,-23,-14
Niger,-178,36
Ogun,-294,-79
Ondo,-202,-89
Osun,-218,-53
Oyo,-278,-27
Plateau,47,8
Rivers,-91,-172
Sokoto,-179,183
Taraba,121,-62
Yobe,151,163
Zamfara,-138,146
Abuja,-91,-2
